,3200102.0,3200169.0,3200136.0,3200201.0,3200300.0,3200359.0,3200409.0,3200508.0,3200607.0,3200706.0,3200805.0,3200904.0,3201001.0,3201100.0,3201159.0,3201209.0,3201308.0,3201407.0,3201506.0,3201605.0,3201704.0,3201803.0,3201902.0,3202009.0,3202108.0,3202207.0,3202256.0,3202306.0,3202405.0,3202454.0,3202504.0,3202553.0,3202603.0,3202652.0,3202702.0,3202801.0,3202900.0,3203007.0,3203056.0,3203106.0,3203130.0,3203163.0,3203205.0,3203304.0,3203320.0,3203346.0,3203353.0,3203403.0,3203502.0,3203601.0,3203700.0,3203809.0,3203908.0,3204005.0,3204054.0,3204104.0,3204203.0,3204252.0,3204302.0,3204351.0,3204401.0,3204500.0,3204559.0,3204609.0,3204658.0,3204708.0,3204807.0,3204906.0,3204955.0,3205002.0,3205010.0,3205036.0,3205069.0,3205101.0,3205150.0,3205176.0,3205200.0,3205309.0
name,Afonso Cláudio,Água Doce do Norte,Águia Branca,Alegre,Alfredo Chaves,Alto Rio Novo,Anchieta,Apiacá,Aracruz,Atílio Vivacqua,Baixo Guandu,Barra de São Francisco,Boa Esperança,Bom Jesus do Norte,Brejetuba,Cachoeiro de Itapemirim,Cariacica,Castelo,Colatina,Conceição da Barra,Conceição do Castelo,Divino de São Lourenço,Domingos Martins,Dores do Rio Preto,Ecoporanga,Fundão,Governador Lindenberg,Guaçuí,Guarapari,Ibatiba,Ibiraçu,Ibitirama,Iconha,Irupi,Itaguaçu,Itapemirim,Itarana,Iúna,Jaguaré,Jerônimo Monteiro,João Neiva,Laranja da Terra,Linhares,Mantenópolis,Marataízes,Marechal Floriano,Marilândia,Mimoso do Sul,Montanha,Mucurici,Muniz Freire,Muqui,Nova Venécia,Pancas,Pedro Canário,Pinheiros,Piúma,Ponto Belo,Presidente Kennedy,Rio Bananal,Rio Novo do Sul,Santa Leopoldina,Santa Maria de Jetibá,Santa Teresa,São Domingos do Norte,São Gabriel da Palha,São José do Calçado,São Mateus,São Roque do Canaã,Serra,Sooretama,Vargem Alta,Venda Nova do Imigrante,Viana,Vila Pavão,Vila Valério,Vila Velha,Vitória
city to capital],151,30,25,184,145,3,377,6,1312,7,216,94,39,20,16,762,44632,262,832,88,61,2,555,0,65,727,39,101,1813,110,184,14,105,91,79,121,102,137,111,37,412,46,966,31,156,246,31,78,60,31,15,48,199,46,86,63,167,12,35,38,63,126,187,246,21,103,10,642,23,59909,22,28,323,6670,23,26,50998,0
capital to city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total flow to capital,151,30,25,184,145,3,377,6,1312,7,216,94,39,20,16,762,44632,262,832,88,61,2,555,0,65,727,39,101,1813,110,184,14,105,91,79,121,102,137,111,37,412,46,966,31,156,246,31,78,60,31,15,48,199,46,86,63,167,12,35,38,63,126,187,246,21,103,10,642,23,59909,22,28,323,6670,23,26,50998,0
higher flow to a city in-out,42,0,4,112,5,3,32,55,71,9,34,29,6,25,4,233,219,71,92,13,7,5,9,3,10,20,0,146,197,36,8,13,21,0,5,208,0,41,29,31,26,0,84,0,74,15,10,75,0,4,75,47,14,21,20,27,34,3,4,0,34,0,13,22,6,32,47,53,4,203,0,9,23,21,0,4,553,0
higher flow to a city out-in,0,0,0,0,22,0,56,0,23,0,50,28,23,0,19,51,0,28,27,39,0,0,0,0,105,34,0,0,79,0,0,0,24,0,0,28,20,18,0,0,0,0,38,0,0,0,0,24,21,22,0,0,28,0,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,204,302
cod in-out,3550308,0,3304557,3304557,3304557,3550308,3304557,3304557,3106200,3304557,3304557,3106200,3550308,3304557,3106200,3304557,3304557,3304557,3550308,4106902,3304557,3304557,3550308,3106200,3304557,3550308,0,3304557,3304557,3106200,3304557,3106200,3304557,0,3304557,3304557,0,3304557,3550308,3304557,3304557,0,3550308,0,3304557,5300108,3106200,3304557,0,3106200,3304557,3304557,3106200,3304557,3304557,3550308,3304557,3106200,3304557,0,3304557,0,3304557,3304557,5300108,3304557,3304557,3304557,3304557,3304557,0,3304557,3106200,3304557,0,3304557,3304557,0
cod out-in,0,0,0,0,3550308,0,3106200,0,2611606,0,3106200,4106902,5300108,0,3304557,3106200,0,2211001,5300108,3550308,0,0,0,0,3106200,3106200,0,0,2927408,0,0,0,2304400,0,0,3550308,3550308,5300108,0,0,0,0,2211001,0,0,0,0,3550308,3550308,2927408,0,0,5300108,0,3106200,3106200,0,0,0,0,0,0,0,0,0,0,0,0,0,3106200,0,0,0,0,0,0,3106200,3106200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
